"","word","frequency_a","prop_in_answered","frequency_u","prop_in_unanswered","ratio"
"1","sound",145.764748354323,0.0346728706837114,125.958990813895,0.038566745503336,0.899035431462896
"2","light",89.7868334141322,0.0213574770252455,79.67635745062,0.024395700382921,0.875460703731118
"3","wifi",89.2892298439263,0.0212391127126371,81.5702641720209,0.0249755860906371,0.850394967131491
"4","speaker",84.6954559652987,0.0201463977082062,84.6283527931893,0.025911926758478,0.777495162593979
"5","connect",64.5326346706654,0.0153502936895018,57.9642287340849,0.0177477736479133,0.864913762933109
"6","picture",60.8534905196856,0.0144751404661479,60.1022118653683,0.0184023918754955,0.786590165239491
"7","stay",49.5576532579413,0.0117882143810517,39.6138039934861,0.012129150028624,0.971891216881007
"8","noise",48.4588707472176,0.0115268484175113,41.8517086000752,0.0128143627066979,0.899525687023547
"9","bluetooth",46.3447555155064,0.0110239665831366,41.3454472833189,0.0126593531179789,0.870815947734356
"10","isnt",45.3746336158009,0.0107932049514274,35.2672905431623,0.0107983130873124,0.999526950566845
"11","apps",44.3727694941662,0.0105548928387646,39.2698270014803,0.0120238294554441,0.877831216575147
"12","going",43.4980767662067,0.0103468308197447,38.8033900574502,0.0118810134897276,0.87087106067935
"13","rear",43.3631549394708,0.0103147371406924,40.0874084960295,0.0122741605927831,0.840361918252662
"14","question",43.0952147382083,0.0102510025542836,35.9478841392233,0.011006700593761,0.93134200089846
"15","play",42.7207894233864,0.010161938492718,37.8066685650226,0.0115758323836566,0.877858123366155
"16","stop",42.3202205104178,0.0100666556875399,36.1814309022436,0.0110782090943796,0.908689807330604
"17","service",41.4825642315622,0.00986740348039062,39.9341345674583,0.0122272304248188,0.807002333117218
"18","take",40.7945241131255,0.00970374027429246,34.0545305115078,0.0104269842349993,0.930637282611476
"19","hear",40.5151736610002,0.00963729154638444,38.2689842282504,0.0117173864752757,0.822477910643269
"20","lights",37.9891969029543,0.00903644074761044,33.962520647788,0.0103988122007924,0.868987781789333
"21","showing",37.9013847910854,0.00901555299502508,36.0148543240575,0.0110272058554983,0.817573654937239
"22","network",36.6325352323854,0.00871373340446846,39.5900203235418,0.0121218678271714,0.718844119462881
"23","volume",36.4571200596844,0.00867200762599535,48.7974762051291,0.0149410521142465,0.580414790048585
"24","come",35.7879436601215,0.00851283150811643,54.1527444971429,0.0165807545918992,0.5134164106304
"25","keep",32.559005110774,0.00774476810437061,36.1386303993939,0.0110651042251665,0.69992726202758
"26","connection",32.4833535281038,0.00772677296101423,40.020495235779,0.0122536727604957,0.630567921311263
"27","flashing",29.8732599304848,0.00710591339925899,37.7848898440864,0.0115691640673871,0.614211481302282
"28","shut",29.1484193537916,0.00693349651612551,42.6399554787797,0.0130557120265706,0.531069964013808
"29","print",26.4586782781315,0.00629369131259076,35.456069227335,0.0108561142765876,0.579737017522357
"30","blue",26.2397010359238,0.00624160348142811,35.2704150753795,0.0107992697720084,0.577965326656278
"31","buttons",21.5420131895976,0.0051241705969547,36.8841254772835,0.0112933635876557,0.453732898722549
"32","edit",13.6980056452829,0.00325832674721286,42.0666729288784,0.0128801815458905,0.252972113444508
